                   
                                               Deposit Summary Report

                                         Release:                         2022-05-13 #001
                                         Total Check Items:               28351
                                         Total Check Amount:              $710,151.57
                                         Total Cash Items:                268
                                         Total Cash Amount:               $2,423.00
                                         Total Foreign Items:             1
                                         Total Foreign Amount:            $17.00
                                         Total Bank Deposit:              $712,591.57

                                              
                                                         FOREIGN              1         $17.00

                                                         Account Details

Description         Account        BOA Client Id         Items     Total Amount          Non-Cash Amount               Cash Amount
                8  1920683519             000905810            90           $2,825.00                    $2,825.00                   $0.00
1,4,20,101,301     1921245215             000905809       21643          $569,560.42                  $569,417.42                 $143.00
             751   1933238155             000905811         2985          $62,885.84                    $62,458.84                $427.00
             753   1933253059             000905812         3901          $77,303.31                    $75,450.31              $1,853.00
1,4,20,101,301       FOREIGN              000905809             1              $17.00                        $17.00                  $0.00

                                                           Batch Listing

             Item   Batch Number       Checks      Chk Amt      Cash    Cash Amt     Foreign     Foreign Amt      Total Amt
133         000044479                       50   $1,023.00                0          $0.00                 0               $0.00      $1,023.00
134         000044481                       50   $1,186.00                0          $0.00                 0               $0.00      $1,186.00
135         000044482                       51   $1,116.00                0          $0.00                 0               $0.00      $1,116.00
136         000044483                       50   $1,166.00                0          $0.00                 0               $0.00      $1,166.00
137         000044484                       52   $1,451.00                0          $0.00                 0               $0.00      $1,451.00
138         000044485                       50   $1,220.00                0          $0.00                 0               $0.00      $1,220.00
139         000044486                       50   $1,208.00                0          $0.00                 0               $0.00      $1,208.00
140         000044487                       50   $1,373.00                0          $0.00                 0               $0.00      $1,373.00
141         000044488                       50   $1,136.00                0          $0.00                 0               $0.00      $1,136.00
142         000044489                       50   $1,191.00                0          $0.00                 0               $0.00      $1,191.00
143         000044490                       50   $1,171.00                0          $0.00                 0               $0.00      $1,171.00
144         000044666                         0         $0.00             0          $0.00                 0               $0.00             $0.00
145         000044712                       50   $1,508.00                0          $0.00                 0               $0.00      $1,508.00
146         000044714                       54   $1,488.00                0          $0.00                 0               $0.00      $1,488.00
147         000044715                       51   $1,206.00                0          $0.00                 0               $0.00      $1,206.00
148         000044716                       50   $1,263.00                0          $0.00                 0               $0.00      $1,263.00
149         000044718                       50   $1,211.00                0          $0.00                 0               $0.00      $1,211.00
150         000044719                       50   $1,421.00                0          $0.00                 0               $0.00      $1,421.00
151         000044721                       50   $1,379.00                0          $0.00                 0               $0.00      $1,379.00
152         000044722                       50   $1,130.00                0          $0.00                 0               $0.00      $1,130.00
153         000044723                       49   $1,340.00                0          $0.00                 0               $0.00      $1,340.00
154         000044724                       53   $1,222.00                0          $0.00                 0               $0.00      $1,222.00
155         000044809                       13      $363.00               0          $0.00                 0               $0.00         $363.00
156         000044843                     100    $2,057.00                0          $0.00                 0               $0.00      $2,057.00
157         000044844                       99   $1,897.00                0          $0.00                 0               $0.00      $1,897.00
158         000044845                       13      $259.00               0          $0.00                 0               $0.00         $259.00
159         000044846                     100    $2,281.00                0          $0.00                 0               $0.00      $2,281.00
160         000044847                     100    $2,285.00                0          $0.00                 0               $0.00      $2,285.00
161         000044848                       98   $1,970.00                0          $0.00                 0               $0.00      $1,970.00
162         000044849                       99   $2,030.00                0          $0.00                 0               $0.00      $2,030.00
163         000044850                       99   $2,031.00                0          $0.00                 0               $0.00      $2,031.00
164         000044851                       98   $1,949.00                0          $0.00                 0               $0.00      $1,949.00
165         000044852                     100    $2,493.00                0          $0.00                 0               $0.00      $2,493.00
166         000045073                       99   $1,955.00                0          $0.00                 0               $0.00      $1,955.00
167         000045074                       96   $1,709.00                0          $0.00                 0               $0.00      $1,709.00
168         000045075                       99   $2,045.00                0          $0.00                 0               $0.00      $2,045.00
169         000045076                       22      $427.00               0          $0.00                 0               $0.00         $427.00
170         000045077                       98   $2,271.00                0          $0.00                 0               $0.00      $2,271.00
171         000045078                       95   $1,820.00                0          $0.00                 0               $0.00      $1,820.00

                                                              Page: 4 of 18Item Batch Number Checks                          Chk Amt          Cash       Cash Amt          Foreign        Foreign Amt            Total Amt
172         000045079                       98   $1,796.00                0          $0.00                 0               $0.00      $1,796.00
173         000045081                       99   $2,040.00                0          $0.00                 0               $0.00      $2,040.00
174         000045082                     100    $2,287.00                0          $0.00                 0               $0.00      $2,287.00
175         000045083                     100    $2,313.00                0          $0.00                 0               $0.00      $2,313.00
176         000045084                     100    $1,974.00                0          $0.00                 0               $0.00      $1,974.00
177         000045085                       99   $2,079.00                0          $0.00                 0               $0.00      $2,079.00
178         000045086                       99   $2,067.00                0          $0.00                 0               $0.00      $2,067.00
179         000045099                     100    $2,704.00                0          $0.00                 0               $0.00      $2,704.00
180         000045100                       98   $2,170.00                0          $0.00                 0               $0.00      $2,170.00
181         000045240                         2       $35.00              0          $0.00                 0               $0.00           $35.00
182         000045241                       27      $929.84               0          $0.00                 0               $0.00         $929.84
183         000045307                     100    $2,152.00                0          $0.00                 0               $0.00      $2,152.00
184         000045308                     100    $2,211.00                0          $0.00                 0               $0.00      $2,211.00
185         000045546                         0         $0.00           25       $115.00                   0               $0.00         $115.00
186         000045547                         0         $0.00           25       $125.00                   0               $0.00         $125.00
187         000045548                         0         $0.00           25         $25.00                  0               $0.00           $25.00
188         000045564                     100    $1,931.80                0          $0.00                 0               $0.00      $1,931.80
189         000045566                       99   $1,810.00                0          $0.00                 0               $0.00      $1,810.00
190         000045567                     100    $2,124.00                0          $0.00                 0               $0.00      $2,124.00
191         000045568                     100    $2,147.00                0          $0.00                 0               $0.00      $2,147.00
192         000045569                     100    $2,262.00                0          $0.00                 0               $0.00      $2,262.00
193         000045570                     100    $2,203.00                0          $0.00                 0               $0.00      $2,203.00
194         000045676                     100    $2,197.00                0          $0.00                 0               $0.00      $2,197.00
195         000045677                       99   $2,177.00                0          $0.00                 0               $0.00      $2,177.00
196         000045683                     100    $1,835.00                0          $0.00                 0               $0.00      $1,835.00
197         000045684                     100    $1,644.00                0          $0.00                 0               $0.00      $1,644.00
198         000045686                     100    $2,155.00                0          $0.00                 0               $0.00      $2,155.00
199         000045739                     100    $2,022.00                0          $0.00                 0               $0.00      $2,022.00
200         000045740                     100    $2,148.00                0          $0.00                 0               $0.00      $2,148.00
201         000045794                         0         $0.00             7      $125.00                   0               $0.00         $125.00
202         000045795                         0         $0.00           25       $360.00                   0               $0.00         $360.00
203         000045796                       98   $1,934.00                0          $0.00                 0               $0.00      $1,934.00
204         000045797                     100    $2,260.00                0          $0.00                 0               $0.00      $2,260.00
205         000045798                     100    $1,961.00                0          $0.00                 0               $0.00      $1,961.00
206         000045800                     100    $2,035.00                0          $0.00                 0               $0.00      $2,035.00
207         000045801                       99   $1,490.00                0          $0.00                 0               $0.00      $1,490.00
208         000045802                     100    $1,956.00                0          $0.00                 0               $0.00      $1,956.00
209         000045803                     100    $2,065.00                0          $0.00                 0               $0.00      $2,065.00
210         000045804                     100    $2,200.00                0          $0.00                 0               $0.00      $2,200.00
211         000045917                     100    $2,105.00                0          $0.00                 0               $0.00      $2,105.00
212         000045918                     100    $1,693.00                0          $0.00                 0               $0.00      $1,693.00
213         000045919                       99   $1,893.00                0          $0.00                 0               $0.00      $1,893.00
214         000045920                       99   $1,764.00                0          $0.00                 0               $0.00      $1,764.00
215         000046025                         0         $0.00             3        $51.00                  0               $0.00           $51.00
216         000046026                         0         $0.00           25       $489.00                   0               $0.00         $489.00
217         000046027                         0         $0.00           25       $250.00                   0               $0.00         $250.00
218         000046028                         0         $0.00           25       $250.00                   0               $0.00         $250.00
219         000046029                         0         $0.00           25         $63.00                  0               $0.00           $63.00
220         000046151                     100    $1,947.00                0          $0.00                 0               $0.00      $1,947.00
221         000046152                       99   $1,999.50                0          $0.00                 0               $0.00      $1,999.50
222         000046153                       99   $1,525.00                0          $0.00                 0               $0.00      $1,525.00
223         000046154                     100    $1,795.00                0          $0.00                 0               $0.00      $1,795.00
224         000046234                     100    $3,738.00                0          $0.00                 0               $0.00      $3,738.00

                                                              Page: 5 of 18Item Batch Number Checks                          Chk Amt          Cash       Cash Amt          Foreign        Foreign Amt            Total Amt
225         000046235                     100    $1,870.00                0          $0.00                 0               $0.00      $1,870.00
226         000046236                       99   $2,363.00                0          $0.00                 0               $0.00      $2,363.00
227         000046237                     100    $2,112.00                0          $0.00                 0               $0.00      $2,112.00
228         000046844                     100    $2,814.00                0          $0.00                 0               $0.00      $2,814.00
